Navn,Year,Month,Day,Felt,Trafikkmengde,Sykkel
Hansine Hansens veg,2021,10,21,Totalt,4488,0
Hansine Hansens veg,2021,10,22,1,2151,0
Hansine Hansens veg,2021,10,22,2,2202,0
Hansine Hansens veg,2021,10,22,Totalt,4353,0
Hansine Hansens veg,2021,10,23,1,667,0
Hansine Hansens veg,2021,10,23,2,623,0
Hansine Hansens veg,2021,10,23,Totalt,1290,0
Hansine Hansens veg,2021,10,24,1,643,0
Hansine Hansens veg,2021,10,24,2,585,0
Hansine Hansens veg,2021,10,24,Totalt,1228,0
Hansine Hansens veg,2021,10,25,1,2329,0
Hansine Hansens veg,2021,10,25,2,2323,0
Hansine Hansens veg,2021,10,25,Totalt,4652,0
Hansine Hansens veg,2021,10,26,1,2274,0
Hansine Hansens veg,2021,10,26,2,2211,0
Hansine Hansens veg,2021,10,26,Totalt,4485,0
Hansine Hansens veg,2021,10,27,1,2257,0
Hansine Hansens veg,2021,10,27,2,2272,0
Hansine Hansens veg,2021,10,27,Totalt,4529,0
Hansine Hansens veg,2021,10,28,1,2310,0
Hansine Hansens veg,2021,10,28,2,2406,0
Hansine Hansens veg,2021,10,28,Totalt,4716,0
Hansine Hansens veg,2021,10,29,1,2122,0
Hansine Hansens veg,2021,10,29,2,2225,0
Hansine Hansens veg,2021,10,29,Totalt,4347,0
Hansine Hansens veg,2021,10,30,1,670,0
Hansine Hansens veg,2021,10,30,2,712,0
Hansine Hansens veg,2021,10,30,Totalt,1382,0
Hansine Hansens veg,2021,10,31,1,603,0
Hansine Hansens veg,2021,10,31,2,600,0
Hansine Hansens veg,2021,10,31,Totalt,1203,0
Hansine Hansens veg,2021,11,1,1,2256,0
Hansine Hansens veg,2021,11,1,2,2305,0
Hansine Hansens veg,2021,11,1,Totalt,4561,0
Hansine Hansens veg,2021,11,2,1,2270,0
Hansine Hansens veg,2021,11,2,2,2360,0
Hansine Hansens veg,2021,11,2,Totalt,4630,0
Hansine Hansens veg,2021,11,3,1,2240,0
Hansine Hansens veg,2021,11,3,2,2356,0
Hansine Hansens veg,2021,11,3,Totalt,4596,0
Hansine Hansens veg,2021,11,4,1,2167,0
Hansine Hansens veg,2021,11,4,2,2242,0
Hansine Hansens veg,2021,11,4,Totalt,4409,0
